,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
16,3,17,2,head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,11.jpg,17,human,person,,
17,3,18,2,head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,173.jpg,18,human,person,,
18,3,19,2,cloth,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,250.jpg,19,human,person,,
19,3,20,2,"height, 2 legs, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,380.jpg,20,human,person,,
20,3,21,2,"height,cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,97.jpg,21,human,person,,
21,3,22,2,"height, 2 legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,231.jpg,22,human,person,,
22,3,23,2,"shoes, 2 legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,388.jpg,23,human,person,,
23,3,24,2,"height, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,631.jpg,24,human,person,,
24,3,25,2,"2 legs, head",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,421.jpg,25,human,person,,
25,3,26,2,"head, legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,232.jpg,26,human,person,,
26,3,27,2,"arms, legs, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,683.jpg,27,human,person,,
27,3,28,2,"head, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,757.jpg,28,human,person,,
28,3,29,2,"cloth head, arms",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,282.jpg,29,human,person,,
29,3,30,2,"height, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,829.jpg,30,human,person,,
30,3,31,2,,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,415.jpg,31,human,person,,
31,3,32,2,"height, legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,703.jpg,32,human,person,,
32,3,33,2,"bag, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,805.jpg,33,human,person,,
33,3,34,2,,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,85.jpg,34,human,person,,
34,3,35,2,"head, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,480.jpg,35,human,person,,
35,3,36,2,"head, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,425.jpg,36,human,person,,
36,3,37,2,"head, arms, legs, cloh",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,670.jpg,37,human,person,,
37,3,38,2,"2legs, height",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,775.jpg,38,human,person,,
38,3,39,2,"arms, legs, head, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,389.jpg,39,human,person,,
39,3,40,2,"2 legs, height",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,218.jpg,40,human,person,,
40,3,41,2,"head, arms",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,99.jpg,41,human,person,,
41,3,42,2,2legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,186.jpg,42,human,person,,
42,3,43,2,"leg, arm, head",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,865.jpg,43,human,person,,
43,3,44,2,"cloth, hair",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,362.jpg,44,human,person,,
44,3,45,2,"cloth, shoes",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,601.jpg,45,human,person,,
45,3,46,2,"aems, head, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,470.jpg,46,human,person,,
46,3,47,2,"2 legs, 2 arms",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,760.jpg,47,human,person,,
47,3,48,2,"head, height",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,286.jpg,48,human,person,,
48,3,49,2,,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,47.jpg,49,human,person,,
0,4,1,2,backpack,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,829.jpg,1,human,person,,
1,4,2,2,shoes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,601.jpg,2,human,person,,
2,4,3,2,different color,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,875.jpg,3,human,person,,
3,4,4,2,shape of head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,232.jpg,4,human,person,,
4,4,5,2,shape like a human?,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,760.jpg,5,human,person,,
5,4,6,2,legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,631.jpg,6,human,person,,
6,4,7,2,shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,470.jpg,7,human,person,,
7,4,8,2,shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,775.jpg,8,human,person,,
8,4,9,2,cannnot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,415.jpg,9,human,person,,
9,4,10,2,shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,282.jpg,10,human,person,,
10,4,11,2,different color,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,324.jpg,11,human,person,,
11,4,12,2,different color and human shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,683.jpg,12,human,person,,
12,4,13,2,something weriod like a head compared to the window,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,173.jpg,13,human,person,,
13,4,14,2,different color ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,270.jpg,14,human,person,,
14,4,15,2,human shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,452.jpg,15,human,person,,
15,4,16,2,human shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,186.jpg,16,human,person,,
16,4,17,2,seens like a human 's body ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,97.jpg,17,human,person,,
17,4,18,2,something on the road,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,748.jpg,18,human,person,,
18,4,19,2,human figure,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,411.jpg,19,human,person,,
19,4,20,2,backpack and a head?,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,558.jpg,20,human,person,,
20,4,21,2,green shirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,389.jpg,21,human,person,,
21,4,22,2,half man's shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,99.jpg,22,human,person,,
22,4,23,2,white shirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,59.jpg,23,human,person,,
23,4,24,2,bright clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,805.jpg,24,human,person,,
24,4,25,2,a head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,425.jpg,25,human,person,,
25,4,26,2,cannnot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,47.jpg,26,human,person,,
26,4,27,2,human figure,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,865.jpg,27,human,person,,
27,4,28,2,the height,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,231.jpg,28,human,person,,
28,4,29,2,a head ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,480.jpg,29,human,person,,
29,4,30,2,black hair ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,362.jpg,30,human,person,,
30,4,31,2,white shirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,808.jpg,31,human,person,,
31,4,32,2,the movement like someone walking ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,388.jpg,32,human,person,,
32,4,33,2,human figure,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,757.jpg,33,human,person,,
33,4,34,2,someone with suit,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,380.jpg,34,human,person,,
34,4,35,2,different shape compared to box,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,34.jpg,35,human,person,,
35,4,36,2,human figure  legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,608.jpg,36,human,person,,
36,4,37,2,something weriod behind the car like a head of human ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,11.jpg,37,human,person,,
37,4,38,2,human figure with red clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,845.jpg,38,human,person,,
38,4,39,2,human figure with black clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,422.jpg,39,human,person,,
39,4,40,2,human walking ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,218.jpg,40,human,person,,
40,4,41,2,something like a body and a head ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,250.jpg,41,human,person,,
41,4,42,2,white bas which can be taken by human?,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,348.jpg,42,human,person,,
42,4,43,2,human figure  with white shirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,703.jpg,43,human,person,,
43,4,44,2,human shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,286.jpg,44,human,person,,
44,4,45,2,legs',2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,421.jpg,45,human,person,,
45,4,46,2,human shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,488.jpg,46,human,person,,
46,4,47,2,looks like someone walking ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,85.jpg,47,human,person,,
47,4,48,2,human figure,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,670.jpg,48,human,person,,
48,4,49,2,looks like someone waiting for the light,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/004ET1,129.jpg,49,human,person,,
0,5,1,2,"round head, human shape, body, legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/005ET1,286.jpg,1,human,person,,
1,5,2,2,"round jacket, arm, leg, jeans, jacket",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/005ET1,670.jpg,2,human,person,,
2,5,3,2,"round head, two legs, white shirt",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/005ET1,380.jpg,3,human,person,,
